Job Title,Job Description
Data Scientist,"Description

United's Digital Technology team designs, develops, and maintains massively scaling technology solutions brought to life with innovative architectures, data analytics, and digital solutions.

: At United Airlines, we believe that inclusion propels innovation and is the foundation of all that we do. Our Shared Purpose: ""Connecting people. Uniting the world."" drives us to be the best airline for our employees, customers, and everyone we serve, and we can only do that with a truly diverse and inclusive workforce. Our team spans the globe and is made up of diverse individuals all working together with cutting-edge technology to build the best airline in the history of aviation.

With multiple employee-run ""Business Resource Group"" communities and world-class benefits like health insurance, parental leave, and space available travel, United is truly a one-of-a-kind place to work that will make you feel welcome and accepted. Come join our team and help us make a positive impact on the world.



The Analytics and Innovation (Ai) team at United Airlines works to innovate, transform, and solve complex business problems resulting in significant and measurable enterprise impact through the application of deep cross-functional business expertise and advanced analytics. We work with business and technology partners across the enterprise (e.g. Airport Operations, Contact Centers, Network Planning, Revenue Management, Digital Products, Human Resources, etc.) to influence strategic decisions, enterprise strategy, business process, and to help connect the dots across the enterprise. We aim to be an organization with whom and within everyone loves to work!



The team is currently looking for a leader who has a passion for data and analytics with the willingness to dig deep into details as well as the ability to assess the big picture. Developing and maintaining strong relationships with key stakeholders in US as well as training and retaining key talent within the offshore team .are keys to success in this role. This role will require strategic thinking and strong client focus









Equal Opportunity Employer - Minorities/Women/Veterans/Disabled/LGBT"
Data Scientist,"Responsibilities

Job Description

Understand and elaborate the use case






Skills: python,computer vision,tensorflow,api,deep learning,sckit,keras"
Data Scientist,"Job Description

Job title: Data Scientist

Department:Student Services


We are looking for a Data Scientist to analyse large amounts of raw data to find patterns to improve our existing platform and provide a better student experience. We will rely on you to build data products to extract valuable business insights.

In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.

Your goal will be to help our company analyse trends to make better decisions.





Comfort working in a dynamic, research-oriented group with several ongoing concurrent projects"
Data Scientist,"Job Description

Implementing end to end data pipelines for serving reporting and data science capabilities.

Work with AI/ML algorithms like Classification Model, Prescriptive Models ,Time Series Models, Deep Learning Models, & Clustering Models.

Experience in building Collections Models on any Order to Cash process. ( experience in finance and BFSI domain is a big plus)

Exceptional communication skills.

Experience with CI/CD pipelines is a plus

Good coding skills in front end, back end and other data layers

#DATA SCIENTIST #ACETALENTCONSULTING"
Data Scientist,"Description

United's Digital Technology team designs, develops, and maintains massively scaling technology solutions brought to life with innovative architectures, data analytics, and digital solutions.

: At United Airlines, we believe that inclusion propels innovation and is the foundation of all that we do. Our Shared Purpose: ""Connecting people. Uniting the world."" drives us to be the best airline for our employees, customers, and everyone we serve, and we can only do that with a truly diverse and inclusive workforce. Our team spans the globe and is made up of diverse individuals all working together with cutting-edge technology to build the best airline in the history of aviation.

With multiple employee-run ""Business Resource Group"" communities and world-class benefits like health insurance, parental leave, and space available travel, United is truly a one-of-a-kind place to work that will make you feel welcome and accepted. Come join our team and help us make a positive impact on the world.



Team Overview

United Airlines’ Enterprise Data Analytics department partners with business and technology leaders across the company to transform data analytics into a competitive advantage. An offshore team based in Delhi, India will work closely with this group and support it with complementing skills and capabilities. The key objectives are to improve operating performance, boost customer experience and drive incremental revenue by embedding data in decision making across all levels of the organization.

Role Overview



The team is currently looking for a leader who has a passion for data and analytics with the willingness to dig deep into details as well as the ability to assess the big picture. Developing and maintaining strong relationships with key stakeholders in US as well as training and retaining key talent within the offshore team are keys to success in this role. This role will require strategic thinking and strong client focus.



United Airlines is an equal opportunity employer. United Airlines recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender identity, sexual orientation, physical ability, age, veteran status, and other protected status as required by applicable law.







Equal Opportunity Employer - Minorities/Women/Veterans/Disabled/LGBT"
Data Scientist,We are looking for an outstanding data scientist who is passionate about the applications of AI and machine learning to join a cutting-edge and mission-driven team. In this role you will first come up to speed on our AI research in healthcare and then own the planning and execution of new research to advance science and applications of Machine Learning/Computer Vision on specific surgical use cases in Urology and Cardiology.
Data Scientist,"It's fun to work in a company where people truly BELIEVE in what they are doing!

We're committed to bringing passion and customer focus to the business.

[Data Scientist- NLP]

[Bangalore/Mumbai/Pune/Chen]



Role Details







B.E/B.Tech/M.Tech in Computer Science or related technical degree OR Equivalent

If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!

Not the right fit? Let us know you're interested in a future opportunity by clicking in the top-right corner of the page or create an account to set up email alerts as new job postings become available that meet your interest!"
Data Scientist,"About zenda:

zenda is a fintech app for families. It enables families to pay school fees with pay-now and pay-later options, unlocking rewards whenever they pay. Our purpose is to help families thrive. We aim to make it easier for families to manage money and to enable their financial wellness - banking and financial experiences built from the ground up, designed specifically for families."
Data Scientist,"Job Title: Data Science Intern

Location: [India, Remote]
We are seeking a highly motivated and analytical Data Science Intern to join our team. As a Data Science Intern, you will work alongside our experienced Data Scientists to help solve complex business problems using data-driven approaches."
Data Scientist,"Are you a seasoned machine learning/data science practitioner?

Does delivering impact while building scalable, robust AI applications excite you?"
Data Scientist,"About PayU

PayU, a leading payment and Fintech company in 50+ high-growth markets throughout Asia, Central and Eastern Europe, Latin America, the Middle East and Africa, part of Prosus group, one of the largest technology investors in the world is redefining the way people buy and sell online for our 300.000 + merchants and millions of consumers.

As a leading online payment service provider, we deploy more than 400 payment methods and PCI-certified platforms to process approximately 6 million payments every single day.

Thinking of becoming a PayUneer and you are curious to know more about us? Read more about the life in PayU here


PayU is the fintech and payments arm of Naspers - A global consumer internet group with market value of USD 100 bn and one of the largest technology investors in the world. The Group's businesses serve more than 1.5 billion people in 89 markets, and are the market leaders in 77 of those markets.

Operations of PayU span globally across 18 growth markets in Asia, Central and Eastern Europe, Latin America, the Middle East and Africa where it empowers billions of people and millions of merchants to buy and sell online, extending the reach of financial services.

PayU India is one of the leading payment service providers, operating in one of the fastest growing industry in India, a high growth economy. The company offers more than 70 local payment methods and serves more than 350,000 merchants including leading e-commerce businesses in India. PayU Group including PayU Finance, a non-banking finance company, also enables credit to consumers and small businesses thus extending the reach of financial services.


PayU marketing solutions team works with number of clients across diverse industry categories to drive efficiency in their marketing programs by leveraging deep user insights based on millions of transactions.

Joining our team offers you the chance to make a difference to wide range of businesses in a rapidly growing market. Deep insights driven acquisition and customer management are critical drivers of growth and profitability of virtually every business today. Therefore, PayU is building out its digital insights capabilities and will continue to do so in the coming years.

Example use cases are:


The Opportunity:

As part of the digital marketing team, you would be:


Requirements to be successful in this role:


Inspired?

Are you ready to utilize your skills and expertise to build value and enrich communities across the globe? Engage with us to discuss further!


At PayU, we are a global fintech investor and our vision is to build a world without financial borders where everyone can prosper. We give people in high-growth markets the financial services and products they need to thrive. Our expertise in 18 high-growth markets enables us to extend the reach of financial services. This drives everything we do, from investing in technology entrepreneurs, to offering credit to underserved individuals, to helping merchants buy, sell and operate online. Being part of Prosus, one of the largest technology investors in the world, gives us the presence and expertise to make a real impact. Find out more www.payu.com


As a global and multi-cultural organization with varied ethnicities thriving across locations, we realize that our responsibility towards fulfilling the D&I commitment is huge. Therefore, we continuously strive to create a diverse, inclusive and safe environment, for all of our people, communities and customers. Our leaders are committed to create an inclusive work culture which enables transparency, flexibility and unbiased attention to each and every PayUneer so they can succeed, irrespective of gender, color or personal faith. An environment where every person feels they belong, that they are listened to, and where they are empowered to speak up. At PayU we have zero tolerance towards any form of prejudice whether a specific race, ethnicity, or of persons with disabilities or the LGBTQ communities."
Data Scientist,"Position: Data Scientist / Senior Data Scientist

Location: Bangalore, India

Overview:

We are looking for a who will support our product, leadership and marketing teams with insights gained from analysing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights.







Experience: -"
Data Scientist,"Hiring for Machine Learning Deep Learning, who have build solutions for computer vision ,nlp, Tensorflow, Pytorch, Tensorflow Lite for Android phone

Skills:- Data Science, Python, Computer Vision, Natural Language Processing (NLP), TensorFlow and PyTorch"
Data Scientist,"Looking For
Quick Learners
Prior knowledge of Python is a must
Comfortable with ""Build fast and iterate""





Life so good, youd think were kidding:

At Sugarfit our mission is to Enable people to lead a Normal life. Through our products and services, we want to reverse and manage diabetes. In pursuit of this objective, we are always looking for excellent team members to fulfill the vision of building these incredible and innovative products."
Data Scientist,"Location: Dubai, UAE (We provide visa sponsorship & relocation assistance)

Starting salary of USD 60,000 per annum + performance based bonus - 0% tax environment.



Cobblestone Energy is an energy trading company specialising in the Great Britain and European wholesale electricity markets. Founded in 2017, we are part of the next generation of companies defining the future of global commodity trading.

We make use of advanced data analytics and extensive research to drive profitable decision making, trading enough electricity every day to power a small country, and growing every day. In doing so, we help to balance the electricity grid, lowering the cost to end consumers, and aiding the transition to a renewable future. Technology and risk management form the backbone of our business.

At Cobblestone Energy, we are a diverse team of over 50 people from 20+ nationalities - we believe in hiring extraordinary talent from all around the world. Our flat organizational structure helps us in giving our team members complete ownership of the work and ensures ideas come from every level. We believe in providing unlimited growth opportunities to our people alongside constant feedback and support, which allows us to cover our vulnerabilities and grow as a team in new and interesting ways. With the right performance and potential, you could be managing the power desk for an entire country within eighteen months in your role. Come join our dream team!







Do you have a passion for data and a solid foundation in mathematics and computer science? If you are a recent graduate or early career professional, Cobblestone Energy, a high-speed energy trading company in Dubai, is looking for you to join us as a Junior Data Scientist. Help drive informed decision making throughout the organization.

As a Junior Data Scientist at Cobblestone Energy, you will play a critical role in supporting our energy trading operations. You will be responsible for collecting, cleaning, analysing, and interpreting large datasets to uncover trends, patterns, and insights that will drive our business decisions. You will also have the opportunity to develop predictive models to forecast energy prices and trends and collaborate with cross-functional teams to implement data-driven solutions.







This is an exciting opportunity for a Junior Data Scientist to join a growing and innovative energy trading company. You will have the opportunity to work on challenging projects, gain valuable industry experience, and develop your skills in a supportive and dynamic environment.



Your application will undergo evaluation, followed by psychometric tests, a trading simulation, a research project, and remote interviews. Successful candidates will then be extended an offer to join our Dubai office as full-time Commercial Graduates through our Commercial Development Program (CDP). We will cover all relocation expenses, including flights, visas, housing, and necessary paperwork. The CDP provides a comprehensive rotational experience in data science, trading, and analytics, with guidance from our experienced commercial team. Throughout the program, you will receive mentorship and training in market fundamentals, leading to the development of strong analytical skills. Upon completion of the program, you will be a Junior Data Scientist

If you are eager to learn, thrive in a fast-paced environment, and are passionate about using data to drive business decisions, we want to hear from you! Apply now and take the first step in your career as a Junior Data Scientist at Cobblestone Energy."
Data Scientist,"Responsibilities

Manage a team of data scientists, machine learning engineers, and big data specialists.
Lead data mining and collection procedures."
Data Scientist,"Description

Responsibilities:

Participate and lead, multifaceted analytic studies on large volumes of data."
Data Scientist,"We are seeking a highly skilled and experienced Machine Learning Engineer with expertise in Natural Language Processing (NLP) to join our team. As a Machine Learning Engineer, you will be responsible for designing, implementing, and maintaining NLP models and algorithms to improve our products and services. The ideal candidate will have a strong background in machine learning, deep learning, and statistical modeling, with a focus on NLP applications. Experience with Deployment and cloud-based services is a plus."
Data Scientist,"Location: Dubai, UAE (We provide visa sponsorship & relocation assistance)

Annual Base Salary range of $75,000 - $100,000 per annum + performance-based bonus - 0% tax environment + an opportunity to join our employee share scheme



Cobblestone Energy is an energy trading company specialising in the Great Britain and European wholesale electricity markets. Founded in 2017, we are part of the next generation of companies defining the future of global commodity trading.

We make use of advanced data analytics and extensive research to drive profitable decision making, trading enough electricity every day to power a small country, and growing every day. In doing so, we help to balance the electricity grid, lowering the cost to end consumers, and aiding the transition to a renewable future. Technology and risk management form the backbone of our business.

At Cobblestone Energy, we are a diverse team of over 50 people from 20+ nationalities - we believe in hiring extraordinary talent from all around the world. Our flat organizational structure helps us in giving our team members complete ownership of the work and ensures ideas come from every level. We believe in providing unlimited growth opportunities to our people alongside constant feedback and support, which allows us to cover our vulnerabilities and grow as a team in new and interesting ways. With the right performance and potential, you could be managing the power desk for an entire country within eighteen months in your role. Come join our dream team!







We are seeking a highly motivated and talented Data Scientist to join our dynamic team. With a passion for data-driven solutions and a strong academic background, the successful candidate will play a key role in supporting our business decisions and driving operational efficiencies through the use of advanced analytics and predictive modelling techniques.







This is an outstanding opportunity for a driven and talented Data Scientist to join a market-leading power trading company and make a significant impact on our business operations. If you possess a passion for data science and a proven track record of success, we encourage you to apply.

Note: While previous work experience in the power trading domain is highly desirable, it is not a requirement for this role."
Data Scientist,"What do we expect from you?

Analyze interpret data and communicate results to clients, often with the aid of mathematical/statistical techniques and software.
This role requires : Data exploration, mathematical/statistical modelling, data analysis and hypothesis testing.

What you need to excel at ?


What we're looking for?


This job opening was posted long time back. It may not be active. Nor was it removed by the recruiter. Please use your discretion.

,

This job is provided by Shine.com"
Data Scientist,"The role 🔎
As a Machine Learning engineer at 3lpus1.ai , you will be working on a number of exciting problems across a wide range of use cases, like generative design, image creation, and prompt engineering – things aimed at improving the customer experience and the product overall. As a critical member of our engineering team, you will contribute to all aspects of the software life cycle: design, implementation, testing, experimentation, and fixing any bugs you create. We’re looking for someone who is willing to dive deep, experiment and iterate rapidly, and get things done."
Data Scientist,"Location: Dubai, UAE (We provide visa sponsorship & relocation assistance)

Annual Base Salary range of $75,000 - $100,000 per annum + performance-based bonus - 0% tax environment + an opportunity to join our employee share scheme



Cobblestone Energy is an energy trading company specialising in the Great Britain and European wholesale electricity markets. Founded in 2017, we are part of the next generation of companies defining the future of global commodity trading.

We make use of advanced data analytics and extensive research to drive profitable decision making, trading enough electricity every day to power a small country, and growing every day. In doing so, we help to balance the electricity grid, lowering the cost to end consumers, and aiding the transition to a renewable future. Technology and risk management form the backbone of our business.

At Cobblestone Energy, we are a diverse team of over 50 people from 20+ nationalities - we believe in hiring extraordinary talent from all around the world. Our flat organizational structure helps us in giving our team members complete ownership of the work and ensures ideas come from every level. We believe in providing unlimited growth opportunities to our people alongside constant feedback and support, which allows us to cover our vulnerabilities and grow as a team in new and interesting ways. With the right performance and potential, you could be managing the power desk for an entire country within eighteen months in your role. Come join our dream team!







We are seeking a highly motivated and talented Data Scientist to join our dynamic team. With a passion for data-driven solutions and a strong academic background, the successful candidate will play a key role in supporting our business decisions and driving operational efficiencies through the use of advanced analytics and predictive modelling techniques.







This is an outstanding opportunity for a driven and talented Data Scientist to join a market-leading power trading company and make a significant impact on our business operations. If you possess a passion for data science and a proven track record of success, we encourage you to apply.

Note: While previous work experience in the power trading domain is highly desirable, it is not a requirement for this role."
Data Scientist,"Who We Are

OpenTeams is the services marketplace where open source software users can find, vet, and contract with service providers. At OpenTeams we believe in a culture of do-ers, learners, and collaborators. We are looking for people who are motivated, humble, curious, and respectful of others. In order to meet the demands of our high growth business, we are looking for talented individuals to provide insights, solutions, and strategy to our internal leadership team and client partners.

We are looking for a in to support our client, who is on a mission to bring health data management into the 21st century.










You'll become an important part of a collaborative, remote-first team. We are a passionate and ambitious team, with a proven record of success building multiple companies. We strive to provide a working environment that gives you room to learn and grow. OpenTeams is committed to creating a diverse and inclusive work environment and is proud to be an equal opportunity employer.

We offer competitive compensation, and comprehensive benefits package including:


All qualified applicants will receive equal consideration for recruitment, interviews, employment, training, compensation, promotion, and related activities without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, veteran status or any and all other protected classes and in accordance with all applicable laws."
Data Scientist,"Location: Dubai, UAE (We provide visa sponsorship & relocation assistance)

Starting salary of USD 60,000 per annum + performance based bonus - 0% tax environment.



Cobblestone Energy is an energy trading company specialising in the Great Britain and European wholesale electricity markets. Founded in 2017, we are part of the next generation of companies defining the future of global commodity trading.

We make use of advanced data analytics and extensive research to drive profitable decision making, trading enough electricity every day to power a small country, and growing every day. In doing so, we help to balance the electricity grid, lowering the cost to end consumers, and aiding the transition to a renewable future. Technology and risk management form the backbone of our business.

At Cobblestone Energy, we are a diverse team of over 50 people from 20+ nationalities - we believe in hiring extraordinary talent from all around the world. Our flat organizational structure helps us in giving our team members complete ownership of the work and ensures ideas come from every level. We believe in providing unlimited growth opportunities to our people alongside constant feedback and support, which allows us to cover our vulnerabilities and grow as a team in new and interesting ways. With the right performance and potential, you could be managing the power desk for an entire country within eighteen months in your role. Come join our dream team!







Do you have a passion for data and a solid foundation in mathematics and computer science? If you are a recent graduate or early career professional, Cobblestone Energy, a high-speed energy trading company in Dubai, is looking for you to join us as a Junior Data Scientist. Help drive informed decision making throughout the organization.

As a Junior Data Scientist at Cobblestone Energy, you will play a critical role in supporting our energy trading operations. You will be responsible for collecting, cleaning, analysing, and interpreting large datasets to uncover trends, patterns, and insights that will drive our business decisions. You will also have the opportunity to develop predictive models to forecast energy prices and trends and collaborate with cross-functional teams to implement data-driven solutions.







This is an exciting opportunity for a Junior Data Scientist to join a growing and innovative energy trading company. You will have the opportunity to work on challenging projects, gain valuable industry experience, and develop your skills in a supportive and dynamic environment.



Your application will undergo evaluation, followed by psychometric tests, a trading simulation, a research project, and remote interviews. Successful candidates will then be extended an offer to join our Dubai office as full-time Commercial Graduates through our Commercial Development Program (CDP). We will cover all relocation expenses, including flights, visas, housing, and necessary paperwork. The CDP provides a comprehensive rotational experience in data science, trading, and analytics, with guidance from our experienced commercial team. Throughout the program, you will receive mentorship and training in market fundamentals, leading to the development of strong analytical skills. Upon completion of the program, you will be a Junior Data Scientist

If you are eager to learn, thrive in a fast-paced environment, and are passionate about using data to drive business decisions, we want to hear from you! Apply now and take the first step in your career as a Junior Data Scientist at Cobblestone Energy."
